date,is_holiday,year,month,day,day_of_week,op_reserve,prcnt_op_reserve,peak_supply
2017-01-02,2,2017,1,2,0,1552.0,6.34,24479.495268138802
2017-01-03,0,2017,1,3,1,1021.0,3.63,28126.7217630854
2017-01-04,0,2017,1,4,2,1272.0,4.47,28456.375838926175
2017-01-05,0,2017,1,5,3,1729.0,6.1,28344.262295081968
2017-01-06,0,2017,1,6,4,1152.0,4.12,27961.165048543688
2017-01-07,2,2017,1,7,5,2214.0,8.65,25595.37572254335
2017-01-08,2,2017,1,8,6,1844.0,7.64,24136.12565445026
2017-01-09,0,2017,1,9,0,1707.0,6.17,27666.12641815235
2017-01-10,0,2017,1,10,1,1252.0,4.51,27760.532150776053
2017-01-11,0,2017,1,11,2,1598.0,5.71,27985.98949211909
2017-01-12,0,2017,1,12,3,1302.0,4.62,28181.81818181818
2017-01-13,0,2017,1,13,4,1979.0,7.29,27146.776406035664
2017-01-14,2,2017,1,14,5,1911.0,7.73,24721.862871927555
2017-01-15,2,2017,1,15,6,1362.0,5.64,24148.936170212768
2017-01-16,0,2017,1,16,0,1508.0,5.51,27368.42105263158
2017-01-17,0,2017,1,17,1,1308.0,4.71,27770.700636942674
2017-01-18,0,2017,1,18,2,1840.0,6.63,27752.6395173454
2017-01-19,0,2017,1,19,3,2341.0,8.43,27769.869513641755
2017-01-20,0,2017,1,20,4,2192.0,8.15,26895.70552147239
2017-01-21,2,2017,1,21,5,1931.0,7.75,24916.129032258064
2017-01-22,2,2017,1,22,6,1491.0,6.15,24243.90243902439
2017-01-23,0,2017,1,23,0,1887.0,7.0,26957.14285714286
2017-01-24,0,2017,1,24,1,1575.0,5.88,26785.714285714286
2017-01-25,0,2017,1,25,2,2315.0,8.94,25894.854586129757
2017-01-26,0,2017,1,26,3,2407.0,10.46,23011.472275334607
2017-01-27,2,2017,1,27,4,2297.0,11.36,20220.070422535213
2017-01-28,2,2017,1,28,5,2893.0,14.71,19666.893269884433
2017-01-29,2,2017,1,29,6,2472.0,12.42,19903.38164251208
2017-01-30,2,2017,1,30,0,2617.0,13.01,20115.29592621061
2017-01-31,2,2017,1,31,1,2736.0,12.91,21192.873741285825
2017-02-01,2,2017,2,1,2,2971.0,13.39,22188.2001493652
2017-02-02,0,2017,2,2,3,2335.0,9.45,24708.99470899471
2017-02-03,0,2017,2,3,4,1629.0,6.37,25572.998430141288
2017-02-04,2,2017,2,4,5,2066.0,8.49,24334.511189634864
2017-02-05,2,2017,2,5,6,2905.0,12.41,23408.541498791295
2017-02-06,0,2017,2,6,0,2596.0,9.83,26408.952187182094
